省级行政区,地级行政区,景点名称,评分,地址,评语,价格,销量,经度,纬度,交通
浙江省,台州市,神仙居景区,0.76,浙江省台州市仙居县白塔镇,融险峰、幽谷、秀林、奇瀑于一体,100,952,120.61,28.69,100.70
浙江省,台州市,台州府城文化旅游区,0.74,浙江省台州市临海市北山路江南长城景区,感受“江南”水乡，远眺古北口长城,55,464,121.12,28.85,43.30
浙江省,丽水市,缙云仙都景区,1,浙江省丽水市缙云县城东7公里处,笑傲江湖拍摄地,94,"1,494",120.12,28.71,41.60
安徽省,黄山市,黄山风景区,1,安徽省黄山市黄山区黄山风景区,五岳归来不看山，黄山归来不看岳,190,"7,000",118.17,30.13,53.40
安徽省,黄山市,皖南古村落—西递·宏村,0.78,安徽省黄山市黟县宏村镇宏村里,炊烟袅袅升起，行走在皖南小山村,94,"7,296",117.98,29.90,51
安徽省,黄山市,古徽州文化旅游区,0.10,安徽省黄山市徽州区g205,将“徽文化”完美鲜活地呈现于世,69.80,330,118.34,29.84,25.40
安徽省,池州市,九华山风景区,1,安徽省池州市九华山镇二一九省道,神奇灵秀地，大愿九华山,160,"2,265",117.83,30.48,37.30
安徽省,安庆市,天柱山风景区,0.86,安徽省安庆市潜山县境内,飞瀑流泉，溪涧遍布，山有多高，水有多长,60,"2,874",116.47,30.74,103.80
安徽省,六安市,天堂寨旅游景区,1,安徽省金寨县天堂寨风景区,感受大自然的神气伟丽，品味乡野的淳朴善良,87,"1,478",115.79,31.14,174.40
安徽省,六安市,万佛湖景区,0.92,安徽省六安市舒城县万佛湖风景区,60多个大小不一的岛屿，有安徽千岛湖之誉,80,816,116.78,31.31,91.70
安徽省,宣城市,绩溪龙川景区,0.67,安徽省宣城市绩溪县太极湖村,阴阳太极何处寻,41.50,12,118.68,30.08,134.40
安徽省,阜阳市,八里河景区,1,安徽省阜阳市颍上县,飞流直下三千尺，疑是银河落九天,85,316,116.31,32.57,84.60
安徽省,合肥市,三河古镇景区,0.92,安徽省合肥市肥西县三河镇三杭路,典型的水乡古镇,30,8,117.25,31.52,49.30
安徽省,芜湖市,方特旅游区,0.61,福建省厦门市同安区石浔南路1111号,展现一幅华夏五千年文明精粹的灿烂画卷,220,118,118.38,31.38,7.40
安徽省,马鞍山市,长江采石矶文化生态旅游区,1,安徽省马鞍山市雨山区采石镇唐贤街1号,千古画卷，诗仙长眠之地,53.50,676,118.47,31.66,12.30
福建省,厦门市,鼓浪屿风景名胜区,0.98,福建省厦门市思明区鼓浪屿,琴之岛，乐之屿,44.70,"5,468",118.07,24.45,9.20
福建省,南平市,武夷山风景名胜区,1,福建省南平市武夷山国家旅游度假区,满园秋色尽在武夷风光,138,"3,577",117.96,27.67,27.40
福建省,龙岩市,土楼永定（土楼（永定·南靖）旅游景区）,0.70,福建省龙岩市永定区,丝绸之路南线，感受绚丽的大漠风光,85,86,117.01,24.67,102.90
福建省,龙岩市,古田旅游区,0.78,福建省龙岩市上杭县古田镇,峰峦叠嶂，原始森林遮天蔽日、郁郁葱葱,44,50,116.83,25.23,38.10
福建省,三明市,泰宁风景旅游区,0.23,福建省三明市泰宁县大金湖境内,冬无严寒，夏日凉润，秋高气爽，春暖花香,14.40,30,117.06,26.85,159
福建省,泉州市,清源山景区,0.99,安徽省池州市青阳县酉华镇金峰村,风光旖旎，远离城市喧嚣，放飞心灵,64.90,72,118.62,24.95,6.10
福建省,宁德市,白水洋·鸳鸯溪旅游景区,0.90,福建省宁德市西北部屏南县境内,享水上游乐之欢畅，品天下绝景之清凉,74,"1,142",119.12,27.06,155.80
福建省,宁德市,福鼎太姥山旅游区,1,福建省宁德福鼎市太姥山,太姥山，中国海边最美的山,29.90,"2,972",120.26,27.11,105.90
福建省,福州市,三坊七巷景区,1,福建省福州市鼓楼区三坊七巷,感受浓厚的闽越古城民居特色,45,64,119.30,26.09,6.10
福建省,莆田市,湄洲岛妈祖文化旅游区,0.88,福建省蒲田市秀屿区湄洲岛,港湾众多，岸线曲折，沙滩连绵，风景秀丽,0.90,22,119.14,25.07,31.90
江西省,九江市,庐山风景名胜区,1,江西省九江市庐山区,匡庐奇秀甲天下,160,"2,552",116.00,29.56,11.60
江西省,九江市,庐山西海景区,0.72,江西省九江市永修县柘林湖,抖音网红胜地,50,"2,130",116.05,29.45,102.50
江西省,吉安市,井冈山风景旅游区,1,江西省吉安井冈山市茨坪镇,红根已深植，今日正繁荣,165,594,114.14,26.64,129.60
江西省,上饶市,三清山旅游景区,0.86,江西省上饶市玉山县,人间四月芳菲尽 三清杜鹃始盛开,40,"2,408",117.99,28.45,65.10
江西省,上饶市,婺源江湾景区,0.90,江西省上饶市婺源县江湾镇,千年古镇江湾，钟灵毓秀，文风炽盛,143,54,118.06,29.37,160.90
江西省,上饶市,龟峰景区,0.72,江西省上饶市弋阳县方志敏大道,象形独秀，奇峦如画，钟灵毓秀，壁立万壑,49.50,406,117.43,28.32,68.20
江西省,鹰潭市,龙虎山旅游景区,0.70,江西省鹰潭市西南20公里处贵溪市境内,神秘的古越族文明，体验绝美的自然风光,60,"5,035",116.99,28.13,15.60
江西省,景德镇市,景德镇古窑民俗博览区,0.02,江西省景德镇市昌江区瓷都大道古窑路1号,探索中国千年陶瓷文化的脉络,85,"4,369",117.19,29.29,7
江西省,赣州市,共和国摇篮旅游区,0.04,江西省赣州市瑞金市旅游集散中心,一处一诗，一步一景,10,18,114.94,25.84,129.10
江西省,赣州市,三百山景区,0.89,青岛市平度市三河山镇靠近309国道,景色很美，天然氧吧,15,10,115.43,25.00,193.20
江西省,宜春市,明月山旅游区,1,江西省宜春市袁州区温汤镇,嫦娥的故乡，传说是当年嫦娥奔月的地方,80,"5,293",114.30,27.61,36.50
江西省,抚州市,大觉山景区,0.74,江西省抚州市资溪县建设路60号,山峦叠嶂，连绵起伏，沟谷纵横，风光旖旎,25,166,117.15,27.70,103.60
江西省,南昌市,滕王阁旅游区,1,江西省南昌市东湖区仿古街58号,落霞与孤鹜齐飞，秋水共长天一色,45,"3,386",115.89,28.68,5.10
江西省,萍乡市,武功山景区,1,江西省萍乡市芦溪县,高山草甸，初见惊艳，再见依然！,60,"16,678",114.14,27.50,117.80
山东省,烟台市,蓬莱阁旅游区,1,山东省烟台蓬莱市迎宾路7号,道教传说中著名的神仙住所和人间仙境,107.50,"4,530",120.78,37.82,83.20
山东省,烟台市,龙口南山景区,0.72,江苏省镇江市润州区竹林路98号,重峦叠翠、茂林修竹、山深水秀、泉涌溪流,34.90,72,120.49,37.57,98.90
山东省,济宁市,曲阜明故城（三孔）旅游区,0.86,山东省曲阜市明故城,孔府、孔庙、孔林，儒家圣地,50,"1,422",117.00,35.60,57.90
山东省,济宁市,微山湖旅游区,0.72,山东省济宁市微山县,四周风光无限，岛上青树郁郁葱葱,45,290,117.28,34.69,146.70
山东省,泰安市,泰山景区,1,山东省泰安市泰山区红门路54号,会当凌绝顶，一览纵山小,180,"1,040",117.14,36.20,4.10
山东省,青岛市,崂山景区,0.82,山东省青岛市崂山区内,古语云：“泰山虽云高，不如东海崂”,29.90,"1,778",120.63,36.19,31
山东省,威海市,刘公岛景区,1,山东省威海市海滨北路101-2号,北洋水师的诞生地，甲午战争的古战场,60,"4,372",122.20,37.51,9
山东省,威海市,华夏城旅游景区,0.70,山东省威海市环翠区威海经济技术开发区华夏路1号,自然与科技一体的新型生态旅游度假圣地,79,922,122.12,37.43,2
山东省,枣庄市,台儿庄古城景区,0.28,山东省枣庄市台儿庄区华兴路东段,被誉为“中华民族扬威不屈之地”,45,"21,556",117.75,34.56,69.80
山东省,济南市,天下第一泉景区,0.86,山东省济南市明湖路271号,玉带串名泉，一水连百景,20,146,117.02,36.67,2.60
山东省,临沂市,沂蒙山景区,0.84,山东省潍坊市潍坊市临朐县沂山镇镇址南300米,逃离雾霾，感受“天然氧吧”,78.50,122,117.98,35.57,86.20
山东省,临沂市,萤火虫水洞·地下大峡谷旅游区,1,山东省临沂市沂水县姚店子镇永富庄,中国特大型著名溶洞之一,86,"1,808",118.55,35.73,91.10
山东省,潍坊市,青州古城旅游区,0.40,山东省潍坊市青州古城,历史悠久的明清府衙驻地,2.25,168,118.49,36.69,13
山东省,东营市,黄河口生态旅游区,0.70,山东省东营市垦利县黄河口镇东北,生态旅游、科普教育于一体,55.60,458,119.08,37.81,68.40
河南省,郑州市,嵩山少林景区,0.98,河南省郑州登封市中岳大街146号,群山耸立，看功夫少林，品儒家文化,50,236,112.96,34.52,87.50
河南省,洛阳市,龙门石窟景区,1,河南省洛阳市洛龙区龙门中街13号,世界文化遗产 中国石刻艺术宝库,100,"2,873",112.48,34.56,16.50
河南省,洛阳市,白云山景区,0.84,湖南省邵阳武冈市云山国家森林公园,一座历史悠久的名山，为全国第六十九福地,0,0,111.40,33.92,171
河南省,洛阳市,老君山·鸡冠洞旅游区景区,0.72,河南省洛阳市栾川县栾川县城西三公里处,景色瑰丽，深不可测,75,398,111.58,33.79,151.10
河南省,洛阳市,龙潭大峡谷景区,0.72,辽宁省葫芦岛市建昌县老大杖子乡,集山、水、洞、石、瀑、峡景观为一体,140,140,112.00,34.97,77.70
河南省,焦作市,云台山—神农山—博爱青天河风景名胜区,1,河南省焦作市修武县修武正北30公里方庄（靠近233省道）,山水圣地，地质奇观，门票3天有效,180,"4,233",113.02,35.35,34.60
河南省,开封市,清明上河园,1,河南省开封市龙亭区龙亭西路5号,穿越宋朝，亲身体验清明上河图,45,"2,540",114.35,34.82,5.30
河南省,安阳市,殷墟景区,0.94,河南省安阳市西北郊小屯村,商朝晚期都城遗址，甲骨文发掘地,5,440,114.32,36.15,3.30
河南省,安阳市,红旗渠、太行大峡谷旅游景区,1,河南省安阳市林州市任村镇太行路225号,渠水奔腾，飞瀑喷雪，好似银河倾泻,75,"1,030",113.71,36.16,68.20
河南省,平顶山市,尧山—中原大佛景区,1,河南省平顶山市鲁山县尧山镇西竹园村,游尧山，拜大佛，浴温泉,3,618,112.47,33.77,117.20
河南省,南阳市,西峡伏牛山老界岭·恐龙遗址园旅游区,0.82,河南省南阳市西峡县太平镇东平村,山川秀美、林海苍莽，四季景色异彩纷呈,50,386,111.69,33.24,93.60
河南省,驻马店市,嵖岈山旅游景区,0.98,河南驻马店遂平县嵖岈山村,漫道黄山天下奇，嵖岈峭丽世间稀,0,0,113.74,33.14,44.20
河南省,商丘市,芒砀山旅游景区,0.88,河南省永城市芒山镇芒砀山景区,一座著名的汉文化旅游胜地,45,414,116.52,34.18,96.90
河南省,新乡市,八里沟景区,0.84,河南省新乡辉县市上八里镇松树坪村,荟萃太行山水精华,54.30,"1,170",113.55,35.59,44.30
河南省,信阳市,鸡公山景区,1,河南省信阳市浉河区鸡公山国家级风景名胜区,中国四大避暑圣地之一,54.90,424,114.08,32.14,36.60
湖北省,武汉市,黄鹤楼公园,1,湖北省武汉市武昌区蛇山,孤帆远影碧空尽，唯见长江天际流,65,"8,032",114.31,30.55,15.50
湖北省,武汉市,东湖景区,0,上海市崇明县陈家镇瀛东村,泛舟东湖，躬耕陇亩，尽享农家之乐,16,54,114.42,30.56,8.20
湖北省,武汉市,黄陂木兰文化生态旅游区,0.51,湖北武汉黄陂区境内,避暑圣地,132,36,114.40,31.10,70.70
